display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16170] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16170] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16171] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16172] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16173] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16174] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16174] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16175] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16176] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16177] Score is : 1921
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16178] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16178] Decoding visual no. 12...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16185] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16186] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16187] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16188] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16188] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16189] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16190] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16191] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16191] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16193] Score is : 1921
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16193] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16196] Decoding visual no. 13...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16203] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16204] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16205] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16206] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16207] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16207] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16208] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16209] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16210] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16211] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16212] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16212] Decoding visual no. 14...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16219] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16220] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16221] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16221] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16222] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16223] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16224] Sample buffers: no
display  I           wgl_disp.c:259  display_pixel_format             [   0.16225] Samples: 0
display  D   display_settings.c:191  debug_display_settings           [   0.16225] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16226] Score is : 1969
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16227] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16228] Decoding visual no. 15...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16235] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16236] Accelarated: yes
